,dice_y
183,0.72033692675656
184,0.6070459164096806
185,0.7162436961119245
186,0.3853606710749568
187,0.4657423148307001
188,0.6162088095079502
189,0.6583983299022876
190,0.42749881246073457
191,0.25090074495775155
192,0.1360634206721911
193,0.5860610173407066
194,0.2002883823125515
195,0.4633676431776194
196,0.7342950744295649
197,0.4301949870324576
198,0.624503378037713
199,0.4368696224939278
200,0.40320566523876517
201,0.5479809419667265
202,0.5940391974950713
203,0.5009311595386676
204,0.43149574381840294
205,0.5008762382630191
206,0.49293569431500467
207,0.4074801927970046
208,0.4821122825989006
209,0.3580452483157911
210,0.275603274441462
211,0.2777199194612234
212,0.5950559964488594
213,0.41115149466091905
214,0.6806371832034678
215,0.7391250116935358
216,0.5839834280929085
217,0.6681169656731176
218,0.43779508687837027
219,0.47932874977383755
220,0.6656432616519821
221,0.10932580257733632
222,0.3289372599231754
223,0.22767112325706046
224,0.4944940152339499
225,0.7100466981891642
226,0.6799844704055342
227,0.46776914695441285
228,0.5853850793328517
229,0.26435228000284555
230,0.36108864252747774
231,0.24480827372003502
232,0.3144132750239993
233,0.3524911847321553
234,0.6921373016005197
235,0.7177230898161131
236,0.5604756908009794
237,0.5042804453016614
238,0.3740287061857419
239,0.4011961370655424
240,0.5260056624653282
241,0.5070919091843896
242,0.546272428607531
243,0.6684378504269818
244,0.6333802234174597
245,0.19852491223549873
246,0.3973732135968493
247,0.3998218395070893
248,0.423731007170036
249,0.5487624558019929
250,0.5791426700471817
251,0.2326948051948052
252,0.5543088670718405
253,0.40875351076635014
254,0.559896424233526
255,0.705867547585339
256,0.5780296190489024
257,0.6920640077979043
258,0.5071007294738475
259,0.1895550240492023
260,0.3033898643654741
261,0.4100384897768483
262,0.3247768359462906
263,0.3091852792578891
264,0.2828508585213566
265,0.11058154519606439
266,0.5164445058360384
267,0.3020662685620673
268,0.41556648184956585
269,0.5442754548620902
270,0.5057037805222966
271,0.5081873074982164
272,0.4161200331749981
273,0.40202293409968165
274,0.30235861323944224
275,0.25088869321331897
276,0.26283667031277247
277,0.49746806039488967
278,0.17040250078755423
279,0.5047720914925128
280,0.5131901138310638
281,0.5949152789737153
282,0.628530918605246
283,0.5413263321664722
284,0.5368683001531394
285,0.5279865912424052
286,0.470454856427999
287,0.4925486498520206
288,0.5807537069295152
289,0.6766748200271263
290,0.37745231607629426
291,0.40147677161316786
292,0.6432045009052685
293,0.6303840608205532
294,0.5494732020155749
295,0.6992737115750542
296,0.725143584276232
297,0.5958956492182189
298,0.6778489625540894
299,0.6389213862411538
300,0.6924623647379422
301,0.639060911359645
302,0.4842272719055625
303,0.2938780787381214
304,0.4574303281961191
305,0.3329673225579761
306,0.6047500518564614
307,0.6455223297328561
308,0.4822275621021096
309,0.5950416413344528
310,0.6347540615617722
311,0.6039694207586004
312,0.3662964545066211
313,0.39418990703851264
314,0.29449068864528916
315,0.5961072537764842
316,0.5484921153985902
317,0.5570782293329304
318,0.5237246662056493
319,0.43049804803028513
320,0.6997107897664071
321,0.6775350896945133
322,0.5991603200289701
323,0.6673670387393302
324,0.6489127702362997
325,0.49051483829587783
326,0.4140325988976075
327,0.6106893156902334
328,0.5502592938464901
329,0.6235009573717626
330,0.4954165893486732
331,0.3086479607296527
332,0.557597225297026
333,0.42279038858382006
334,0.5704391971294714
335,0.5407572219259695
336,0.5949098885759154
337,0.4355299146576591
338,0.5353150242326333
339,0.5973779291834417
340,0.6182881028332574
341,0.5106342790223263
342,0.6983974066889719
343,0.7150343106674985
344,0.7291646086469755
345,0.6234835593127299
346,0.49284547209981683
347,0.5625562942311817
348,0.4776605348448299
349,0.4287704557102742
350,0.484755838641189
351,0.47048315062931384
352,0.6609954880245394
353,0.5995752033983728
354,0.64946654843969
355,0.6121776524300853
356,0.5945973479124573
357,0.6385261052695372
358,0.3081991028647161
359,0.38782791185729276
360,0.5162184733589443
361,0.41710937633453476
362,0.5163298170698608
363,0.4258193207467936
364,0.5800485197818434
365,0.4521981856245639
366,0.6385073668438515
367,0.6557275181078509
368,0.7218730358265242
369,0.1896400007821819
370,0.39238557574531685
371,0.5268368558786745
372,0.3520031997866809
373,0.5564059843878181
374,0.6296628814412139
375,0.5906105910297611
376,0.4086446596824142
377,0.16040937247508752
378,0.3711472915843829
379,0.5714610865328534
380,0.5310391051123232
381,0.6410776896106293
382,0.5951937336020381
383,0.3759028149962994
384,0.7092693002840176
385,0.2806843004520189
386,0.3043222708049602
387,0.5306294732978528
388,0.546391931536098
389,0.4833563726845452
390,0.7250694523010396
391,0.7281747163140788
392,0.4632340332663019
393,0.6068804563920823
394,0.5997028910981602
395,0.5605123290058378
396,0.5762697009976483
397,0.37316611452910553
398,0.656384586631129
399,0.6160915302884679
400,0.6268383288382271
401,0.6341595508457747
402,0.7291733541750988
403,0.12326885993104657
404,0.6648106464478932
405,0.7228973778355419
406,0.5311365070462034
407,0.6123833757421544
408,0.6091686316489939
409,0.6921771095255721
410,0.5785562206242719
411,0.5861091530812724
412,0.6734550011749041
413,0.35309531608254174
414,0.5606469002695418
415,0.5975606508481798
416,0.5905243357629908
417,0.3151789641745817
418,0.44611133043821555
419,0.436974513925381
420,0.6059481196694507
421,0.6847916859979586
422,0.4628334186430075
423,0.6107173828533836
424,0.5881829242959314
425,0.5626369041410243
426,0.6406418070993187
